id	assigned_topic	topic_label	lang
young_wedding_both_373	8	8_june_march_saint_day	nl
young_wedding_both_374	8	8_june_march_saint_day	nl
young_wedding_both_375	11	11_apples_tree_sisters_wine	nl
young_wedding_both_376	9	9_wedding_crows_crow_married	nl
young_wedding_both_377	1	1_nicholas_saint_blessed_god	nl
young_wedding_both_378	15	15_bow_fall_sail_singing	nl
young_wedding_both_379	9	9_wedding_crows_crow_married	nl
young_wedding_both_380	9	9_wedding_crows_crow_married	nl
young_wedding_both_381	9	9_wedding_crows_crow_married	nl
young_wedding_both_382	4	4_servants_thousand_soul_book	nl
young_wedding_both_383	16	16_wolf_bear_anne_leg	nl
young_wedding_both_384	16	16_wolf_bear_anne_leg	nl
young_wedding_both_385	15	15_bow_fall_sail_singing	nl
young_wedding_both_386	7	7_legs_calf_reed_nest	nl
young_wedding_both_387	13	13_bake_basket_bells_eggs	nl
young_wedding_both_388	15	15_bow_fall_sail_singing	nl
young_wedding_both_389	17	17_crooked_tavern_trembles_straight	nl
young_wedding_both_390	9	9_wedding_crows_crow_married	nl
young_wedding_both_391	1	1_nicholas_saint_blessed_god	nl
young_wedding_both_392	14	14_herd_dog_tail_turning	nl
young_wedding_both_393	9	9_wedding_crows_crow_married	nl
young_wedding_both_394	15	15_bow_fall_sail_singing	nl
young_wedding_both_395	4	4_servants_thousand_soul_book	nl
young_wedding_both_396	15	15_bow_fall_sail_singing	nl
young_wedding_both_397	7	7_legs_calf_reed_nest	nl
young_wedding_both_398	9	9_wedding_crows_crow_married	nl
young_wedding_both_399	9	9_wedding_crows_crow_married	nl
young_wedding_both_400	15	15_bow_fall_sail_singing	nl
young_wedding_both_401	8	8_june_march_saint_day	nl
young_wedding_both_402	10	10_wheat_barley_rye_pea	nl
young_wedding_both_403	4	4_servants_thousand_soul_book	nl
young_wedding_both_404	4	4_servants_thousand_soul_book	nl
young_wedding_both_405	15	15_bow_fall_sail_singing	nl
young_wedding_both_406	0	0_servant_cat_wreath_horse	nl
young_wedding_both_407	8	8_june_march_saint_day	nl
young_wedding_both_408	7	7_legs_calf_reed_nest	nl
young_wedding_both_409	15	15_bow_fall_sail_singing	nl
young_wedding_both_410	3	3_oxen_gentlemen_peasants_plow	nl
young_wedding_both_411	15	15_bow_fall_sail_singing	nl
young_wedding_both_412	1	1_nicholas_saint_blessed_god	nl
young_wedding_both_413	0	0_servant_cat_wreath_horse	nl
young_wedding_both_414	3	3_oxen_gentlemen_peasants_plow	nl
young_wedding_both_415	9	9_wedding_crows_crow_married	nl
young_wedding_both_416	12	12_march_thirty_month_june	nl
young_wedding_both_417	9	9_wedding_crows_crow_married	nl
young_wedding_both_418	12	12_march_thirty_month_june	nl
young_wedding_both_419	15	15_bow_fall_sail_singing	nl
young_wedding_both_420	12	12_march_thirty_month_june	nl
young_wedding_both_421	9	9_wedding_crows_crow_married	nl
young_wedding_both_422	1	1_nicholas_saint_blessed_god	nl
young_wedding_both_423	9	9_wedding_crows_crow_married	nl
young_wedding_both_424	11	11_apples_tree_sisters_wine	nl
young_wedding_both_425	3	3_oxen_gentlemen_peasants_plow	nl
young_wedding_both_426	8	8_june_march_saint_day	nl
young_wedding_both_427	3	3_oxen_gentlemen_peasants_plow	nl
young_wedding_both_429	2	2_beer_beer drink_drank_eating	nl
young_wedding_both_430	9	9_wedding_crows_crow_married	nl
young_wedding_both_431	9	9_wedding_crows_crow_married	nl
young_wedding_both_432	4	4_servants_thousand_soul_book	nl
young_wedding_both_433	7	7_legs_calf_reed_nest	nl
young_wedding_both_434	6	6_sparrow_cabbage_pea_chirp	nl
young_wedding_both_435	9	9_wedding_crows_crow_married	nl
young_wedding_both_436	2	2_beer_beer drink_drank_eating	nl
young_wedding_both_438	15	15_bow_fall_sail_singing	nl
young_wedding_both_439	15	15_bow_fall_sail_singing	nl
young_wedding_both_440	12	12_march_thirty_month_june	nl
young_wedding_both_441	13	13_bake_basket_bells_eggs	nl
young_wedding_both_442	9	9_wedding_crows_crow_married	nl
young_wedding_both_443	15	15_bow_fall_sail_singing	nl
young_wedding_both_444	15	15_bow_fall_sail_singing	nl
young_wedding_both_445	7	7_legs_calf_reed_nest	nl
young_wedding_both_446	15	15_bow_fall_sail_singing	nl
young_wedding_both_447	9	9_wedding_crows_crow_married	nl
young_wedding_both_448	12	12_march_thirty_month_june	nl
young_wedding_both_449	15	15_bow_fall_sail_singing	nl
young_wedding_both_450	9	9_wedding_crows_crow_married	nl
young_wedding_both_451	9	9_wedding_crows_crow_married	nl
young_wedding_both_452	7	7_legs_calf_reed_nest	nl
young_wedding_both_454	15	15_bow_fall_sail_singing	nl
young_wedding_both_455	16	16_wolf_bear_anne_leg	nl
young_wedding_both_456	9	9_wedding_crows_crow_married	nl
young_wedding_both_457	15	15_bow_fall_sail_singing	nl
young_wedding_both_458	9	9_wedding_crows_crow_married	nl
young_wedding_both_459	15	15_bow_fall_sail_singing	nl
young_wedding_both_461	9	9_wedding_crows_crow_married	nl
young_wedding_both_462	15	15_bow_fall_sail_singing	nl
young_wedding_both_463	7	7_legs_calf_reed_nest	nl
young_wedding_both_464	2	2_beer_beer drink_drank_eating	nl
young_wedding_both_465	9	9_wedding_crows_crow_married	nl
young_wedding_both_466	4	4_servants_thousand_soul_book	nl
young_wedding_both_467	15	15_bow_fall_sail_singing	nl
young_wedding_both_468	6	6_sparrow_cabbage_pea_chirp	nl
young_wedding_both_469	13	13_bake_basket_bells_eggs	nl
young_wedding_both_471	15	15_bow_fall_sail_singing	nl
young_wedding_both_472	12	12_march_thirty_month_june	nl
