id	assigned_topic	topic_label	lang
Erb_2109	0	0_fate_weaving_wind_song	cs
Erb_2110	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_2112	0	0_fate_weaving_wind_song	cs
Erb_2113	0	0_fate_weaving_wind_song	cs
Erb_2114	0	0_fate_weaving_wind_song	cs
Erb_2116	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_2117	0	0_fate_weaving_wind_song	cs
Erb_2119	0	0_fate_weaving_wind_song	cs
Erb_2120	0	0_fate_weaving_wind_song	cs
Erb_2121	0	0_fate_weaving_wind_song	cs
Erb_2124	0	0_fate_weaving_wind_song	cs
Erb_2126	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_2127	0	0_fate_weaving_wind_song	cs
Erb_2128	0	0_fate_weaving_wind_song	cs
Erb_2130	0	0_fate_weaving_wind_song	cs
Erb_2131	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_2134	0	0_fate_weaving_wind_song	cs
Erb_2135	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_2137	35	35_honzíček_monastery_maidens young_set beloved	cs
Erb_2138	0	0_fate_weaving_wind_song	cs
Erb_2141	27	27_parting_maiden_fair maiden_wreath	cs
Erb_2143	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_2145	0	0_fate_weaving_wind_song	cs
Erb_2146	0	0_fate_weaving_wind_song	cs
Erb_2150	0	0_fate_weaving_wind_song	cs
Erb_2151	15	15_bridegroom_altar_bridesmaids_maid	cs
Erb_2153	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_2154	0	0_fate_weaving_wind_song	cs
Erb_2159	0	0_fate_weaving_wind_song	cs
Erb_2160	0	0_fate_weaving_wind_song	cs
Erb_2163	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	cs
Erb_2166	34	34_maids_husband home_husband_heaven	cs
Erb_2169	0	0_fate_weaving_wind_song	cs
Erb_2170	0	0_fate_weaving_wind_song	cs
Erb_2171	26	26_love sorrow_married dear_god dear_great sorrow	cs
Erb_2175	34	34_maids_husband home_husband_heaven	cs
Erb_2177	34	34_maids_husband home_husband_heaven	cs
Erb_2180	34	34_maids_husband home_husband_heaven	cs
THB_40	23	23_battle_cheerful_trumpets_soldiers	cs
THB_100	35	35_honzíček_monastery_maidens young_set beloved	cs
THB_101	26	26_love sorrow_married dear_god dear_great sorrow	cs
THB_102	0	0_fate_weaving_wind_song	cs
THB_103	0	0_fate_weaving_wind_song	cs
THB_104	0	0_fate_weaving_wind_song	cs
THB_105	0	0_fate_weaving_wind_song	cs
h21305000012	35	35_honzíček_monastery_maidens young_set beloved	et
e000151070015	0	0_fate_weaving_wind_song	et
eys0617770000	23	23_battle_cheerful_trumpets_soldiers	et
eys0617830287	28	28_shepherdess_shepherd_sheep_wolf	et
h21304930008	35	35_honzíček_monastery_maidens young_set beloved	et
e000076970008	0	0_fate_weaving_wind_song	et
eys0807390339	35	35_honzíček_monastery_maidens young_set beloved	et
h21305400049	35	35_honzíček_monastery_maidens young_set beloved	et
e000093390023	20	20_bridegroom bride_bride_wedding_wedding feast	et
e000099700006	32	32_mary_little jesus_christ born_given mother	et
e000138100007	0	0_fate_weaving_wind_song	et
eys0910530166	34	34_maids_husband home_husband_heaven	et
h21400660083	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	et
eks1500010001	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	et
h31703830047	0	0_fate_weaving_wind_song	et
e000093890060	0	0_fate_weaving_wind_song	et
e000123260005	14	14_young maiden_maiden young_maiden hears_maidens	et
e000598850000	35	35_honzíček_monastery_maidens young_set beloved	et
e000613860003	0	0_fate_weaving_wind_song	et
ea00006930012	0	0_fate_weaving_wind_song	et
eks1500040003	0	0_fate_weaving_wind_song	et
ekse00380000	0	0_fate_weaving_wind_song	et
era200101440001	0	0_fate_weaving_wind_song	et
era201101840004	0	0_fate_weaving_wind_song	et
era201103470003	0	0_fate_weaving_wind_song	et
era201400770017	0	0_fate_weaving_wind_song	et
era201402870024	21	21_young lad_stallions_crying young_village	et
era202401570002	35	35_honzíček_monastery_maidens young_set beloved	et
era202403540008	0	0_fate_weaving_wind_song	et
era202403770004	0	0_fate_weaving_wind_song	et
era203201730004	35	35_honzíček_monastery_maidens young_set beloved	et
estk4000600094	0	0_fate_weaving_wind_song	et
eys0506170036	0	0_fate_weaving_wind_song	et
eys0506300060	0	0_fate_weaving_wind_song	et
eys0610680228	0	0_fate_weaving_wind_song	et
eys0614410114	0	0_fate_weaving_wind_song	et
eys0614660155	0	0_fate_weaving_wind_song	et
eys0614760170	0	0_fate_weaving_wind_song	et
eys0614860183	0	0_fate_weaving_wind_song	et
eys0615110244	0	0_fate_weaving_wind_song	et
eys0616190047	34	34_maids_husband home_husband_heaven	et
eys0706630026	0	0_fate_weaving_wind_song	et
eys0706800056	26	26_love sorrow_married dear_god dear_great sorrow	et
eys0715340010	21	21_young lad_stallions_crying young_village	et
eys0715460027	0	0_fate_weaving_wind_song	et
eys0715690076	28	28_shepherdess_shepherd_sheep_wolf	et
eys0715960116	0	0_fate_weaving_wind_song	et
eys0716160145	36	36_village maiden_singing forest_meadow_golden bird	et
eys0716980268	13	13_takes wife_father law_mother law_horse	et
eys0716980269	0	0_fate_weaving_wind_song	et
eys0717540369	32	32_mary_little jesus_christ born_given mother	et
eys0717550372	0	0_fate_weaving_wind_song	et
eys0722820026	0	0_fate_weaving_wind_song	et
eys0722910041	21	21_young lad_stallions_crying young_village	et
eys0722920043	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	et
eys0723140094	0	0_fate_weaving_wind_song	et
eys0723150096	0	0_fate_weaving_wind_song	et
eys0805580059	0	0_fate_weaving_wind_song	et
eys0805620068	0	0_fate_weaving_wind_song	et
eys0806100140	0	0_fate_weaving_wind_song	et
eys0806530216	0	0_fate_weaving_wind_song	et
eys0806880268	0	0_fate_weaving_wind_song	et
eys0808150447	0	0_fate_weaving_wind_song	et
eys0808210454	0	0_fate_weaving_wind_song	et
eys0808360479	0	0_fate_weaving_wind_song	et
eys080837480b	0	0_fate_weaving_wind_song	et
eys0811530008	0	0_fate_weaving_wind_song	et
eys0811780054	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	et
eys0909490011	0	0_fate_weaving_wind_song	et
eys0910020091	0	0_fate_weaving_wind_song	et
eys0922830094	26	26_love sorrow_married dear_god dear_great sorrow	et
eys1022430016	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	et
eys1022630061	35	35_honzíček_monastery_maidens young_set beloved	et
eys1022780086	0	0_fate_weaving_wind_song	et
eys1022880100	35	35_honzíček_monastery_maidens young_set beloved	et
eys1029050081	14	14_young maiden_maiden young_maiden hears_maidens	et
h10100180002	0	0_fate_weaving_wind_song	et
h10101990032	21	21_young lad_stallions_crying young_village	et
h10102020037	0	0_fate_weaving_wind_song	et
h10102450128	14	14_young maiden_maiden young_maiden hears_maidens	et
h10700370019	0	0_fate_weaving_wind_song	et
h10700600059	0	0_fate_weaving_wind_song	et
h20102850423	34	34_maids_husband home_husband_heaven	et
h20102880426	0	0_fate_weaving_wind_song	et
h21109540011	0	0_fate_weaving_wind_song	et
h21300830027	0	0_fate_weaving_wind_song	et
h21301290022	24	24_lullaby baby_baby lullaby_lullaby little_lullaby	et
h21304900006	0	0_fate_weaving_wind_song	et
h21304960009	29	29_bridesmaid_bridesmaids_bid farewell_little kiss	et
h21306030003	35	35_honzíček_monastery_maidens young_set beloved	et
h21403410004	34	34_maids_husband home_husband_heaven	et
h22609160021	35	35_honzíček_monastery_maidens young_set beloved	et
h24000901036	35	35_honzíček_monastery_maidens young_set beloved	et
h24607080020	18	18_lullaby lullaby_lullaby_lullaby baby_sleeps lullaby	et
h25706320016	0	0_fate_weaving_wind_song	et
